Date,Stock,Value
08/01/2018,Costco,-1.353817711
08/01/2018,T K Maxx,-2.070571391
08/01/2018,Gap,1.276443009
08/01/2018,Etsy,-1.278679373
08/01/2018,Ebay,-0.606038988
08/01/2018,Alibaba,0.243718894
08/01/2018,Amazon,-1.621587211
09/01/2018,Costco,-1.370885203
09/01/2018,T K Maxx,-2.077409028
09/01/2018,Gap,1.237262443
09/01/2018,Etsy,-1.269781473
09/01/2018,Ebay,-0.626201412
09/01/2018,Alibaba,0.252327327
09/01/2018,Amazon,-1.613373205
10/01/2018,Costco,-1.377665348
10/01/2018,T K Maxx,-2.042308985
10/01/2018,Gap,1.242317449
10/01/2018,Etsy,-1.279599837
10/01/2018,Ebay,-0.762858919
10/01/2018,Alibaba,0.233828222
10/01/2018,Amazon,-1.611076637
11/01/2018,Costco,-1.346803558
11/01/2018,T K Maxx,-2.014502694
11/01/2018,Gap,1.3889297
11/01/2018,Etsy,-1.274997487
11/01/2018,Ebay,-0.754644553
11/01/2018,Alibaba,0.214779947
11/01/2018,Amazon,-1.579587267
12/01/2018,Costco,-1.327631769
12/01/2018,T K Maxx,-1.950684503
12/01/2018,Gap,1.474874764
12/01/2018,Etsy,-1.290645497
12/01/2018,Ebay,-0.7389625
12/01/2018,Alibaba,0.197196686
12/01/2018,Amazon,-1.539404799
16/01/2018,Costco,-1.330047653
16/01/2018,T K Maxx,-2.027721852
16/01/2018,Gap,1.328262513
16/01/2018,Etsy,-1.293560335
16/01/2018,Ebay,-0.764352577
16/01/2018,Alibaba,0.098474708
16/01/2018,Amazon,-1.539883999
17/01/2018,Costco,-1.324124693
17/01/2018,T K Maxx,-2.028177595
17/01/2018,Gap,1.3977771
17/01/2018,Etsy,-1.287577273
17/01/2018,Ebay,-0.741202232
17/01/2018,Alibaba,0.124666401
17/01/2018,Amazon,-1.553775843
18/01/2018,Costco,-1.330203319
18/01/2018,T K Maxx,-1.997636474
18/01/2018,Gap,1.460971505
18/01/2018,Etsy,-1.289725033
18/01/2018,Ebay,-0.685195027
18/01/2018,Alibaba,0.135106244
18/01/2018,Amazon,-1.556142818
19/01/2018,Costco,-1.324124693
19/01/2018,T K Maxx,-1.922878585
19/01/2018,Gap,1.593681922
19/01/2018,Etsy,-1.288190906
19/01/2018,Ebay,-0.708344769
19/01/2018,Alibaba,0.128695893
19/01/2018,Amazon,-1.554367694
22/01/2018,Costco,-1.307836423
22/01/2018,T K Maxx,-1.896895267
22/01/2018,Gap,1.67836238
22/01/2018,Etsy,-1.283128308
22/01/2018,Ebay,-0.62246772
22/01/2018,Alibaba,0.128146442
